TRACT,ZIP,LA_TRACT
06037137501,91356,137501
06037137501,91364,137501
06037137502,91364,137502
06037137502,91367,137502
06037137504,91364,137504
06037137504,91356,137504
06037138000,91364,138000
06037139001,91316,139001
06037139200,91356,139200
06037139200,91416,139200
06037139200,91426,139200
06037139200,91316,139200
06037139301,91367,139301
06037139301,91356,139301
06037139302,91356,139302
06037139303,91356,139303
06037139401,91356,139401
06037139401,91357,139401
06037139402,91364,139402
06037139402,91356,139402
06037139502,91356,139502
06037139502,91316,139502
06037139503,91316,139503
06037139504,91316,139504
06037139600,91316,139600
06037139701,91436,139701
06037139701,91316,139701
06037139702,91436,139702
06037139702,90049,139702
06037139702,91316,139702
06037139703,91356,139703
06037139703,91316,139703
06037139801,91356,139801
06037139802,91356,139802
06037141101,91423,141101
06037141102,91423,141102
06037141201,91423,141201
06037141201,91403,141201
06037141202,91423,141202
06037141202,91403,141202
06037141302,91403,141302
06037141303,91403,141303
06037141304,91403,141304
06037141400,91403,141400
06037141400,91436,141400
06037141500,91403,141500
06037141500,91436,141500
06037141500,90049,141500
06037141600,91403,141600
06037141600,90049,141600
06037141600,91423,141600
06037141600,90077,141600
06037141700,90210,141700
06037141700,91423,141700
06037143100,91610,143100
06037143100,91602,143100
06037143200,91604,143200
06037143200,91602,143200
06037143300,91607,143300
06037143300,91602,143300
06037143300,91604,143300
06037143400,91607,143400
06037143400,91423,143400
06037143400,91604,143400
06037143500,91423,143500
06037143500,91604,143500
06037143602,91604,143602
06037143603,91602,143603
06037143603,91604,143603
06037143604,91604,143604
06037143700,90068,143700
06037143700,91608,143700
06037143700,91604,143700
06037143700,90046,143700
06037143800,91604,143800
06037143800,90046,143800
06037143800,90068,143800
06037143901,90210,143901
06037143901,90046,143901
06037143901,91604,143901
06037143901,91614,143901
06037143902,91423,143902
06037143902,90210,143902
06037143902,91604,143902
06037181000,90041,181000
06037181000,91105,181000
06037181300,90065,181300
06037181300,90041,181300
06037181400,90041,181400
06037181500,90042,181500
06037181500,90041,181500
06037181600,90042,181600
06037181600,90041,181600
06037183101,90042,183101
06037183103,91030,183103
06037183103,90042,183103
06037183104,90042,183104
06037183104,91030,183104
06037183220,90042,183220
06037183221,90042,183221
06037183222,90041,183222
06037183222,90042,183222
06037183300,90042,183300
06037183300,90050,183300
06037183401,90042,183401
06037183402,90042,183402
06037183402,90041,183402
06037183510,90042,183510
06037183520,90042,183520
06037183610,90042,183610
06037183620,90042,183620
06037183701,90042,183701
06037183702,90042,183702
06037183810,90042,183810
06037183820,90042,183820
06037185100,90031,185100
06037185100,90065,185100
06037185100,90042,185100
06037185202,90065,185202
06037185203,90065,185203
06037185204,90065,185204
06037185310,90065,185310
06037185320,90065,185320
06037186100,90041,186100
06037186100,91205,186100
06037186100,90065,186100
06037186201,90042,186201
06037186201,90065,186201
06037186201,90041,186201
06037186202,90041,186202
06037186202,90065,186202
06037186203,90065,186203
06037186203,90042,186203
06037186301,90065,186301
06037186302,90065,186302
06037186401,90065,186401
06037186401,91205,186401
06037186403,90065,186403
06037186404,90065,186404
06037187101,90039,187101
06037187102,90039,187102
06037187102,90065,187102
06037187200,90039,187200
06037187200,90031,187200
06037187300,90039,187300
06037188100,90039,188100
06037188201,90027,188201
06037188201,90039,188201
06037188202,90027,188202
06037188300,90039,188300
06037189101,90027,189101
06037189102,90027,189102
06037189201,90027,189201
06037189202,90027,189202
06037189300,90028,189300
06037189300,90027,189300
06037189300,90068,189300
06037189400,90068,189400
06037189500,90068,189500
06037189500,90028,189500
06037189600,90028,189600
06037189600,90068,189600
06037189701,91505,189701
06037189701,90068,189701
06037189702,90028,189702
06037189702,90068,189702
06037189800,90046,189800
06037189902,90028,189902
06037189902,90046,189902
06037189903,90046,189903
06037189904,90046,189904
06037189904,90028,189904
06037189905,90046,189905
06037190100,90028,190100
06037190100,90046,190100
06037190201,90028,190201
06037190202,90028,190202
06037190301,90028,190301
06037190301,90027,190301
06037190401,90027,190401
06037190402,90027,190402
06037190510,90028,190510
06037190510,90027,190510
06037190520,90027,190520
06037190700,90093,190700
06037190700,90028,190700
06037190700,90078,190700
06037190801,90028,190801
06037190801,90038,190801
06037190802,90028,190802
06037190802,90038,190802
06037190901,90027,190901
06037190901,90038,190901
06037190901,90029,190901
06037190901,90028,190901
06037190901,90072,190901
06037190902,90028,190902
06037190902,90038,190902
06037191000,90028,191000
06037191110,90029,191110
06037191110,90027,191110
06037191120,90029,191120
06037191201,90027,191201
06037191201,90029,191201
06037191203,90029,191203
06037191204,90029,191204
06037191301,90029,191301
06037191302,90027,191302
06037191302,90029,191302
06037191410,90029,191410
06037191420,90029,191420
06037191500,90029,191500
06037191610,90029,191610
06037191620,90029,191620
06037191710,90038,191710
06037191710,90029,191710
06037191720,90038,191720
06037191720,90029,191720
06037191810,90038,191810
06037191820,90038,191820
06037191901,90038,191901
06037191901,90028,191901
06037191902,90036,191902
06037191902,90004,191902
06037191902,90038,191902
06037192001,90038,192001
06037192001,90046,192001
06037192001,90036,192001
06037192002,90046,192002
06037192002,90036,192002
06037192300,90004,192300
06037192300,90038,192300
06037192410,90038,192410
06037192410,90004,192410
06037192420,90004,192420
06037192420,90038,192420
06037192510,90029,192510
06037192510,90004,192510
